,Reference, Value, Footprint, Datasheet, MfgPartNumber, Mfg,
x,C1,18pF,klib:CAPC2012X100N,,,,
x,C2,18pF,klib:CAPC2012X100N,,,,
x,C3,10uF,klib:CAPCP2012X100N,,,,
x,C4,18pF,klib:CAPC2012X100N,,,,
x,C5,18pF,klib:CAPC2012X100N,,,,
x,C6,18pF,klib:CAPC2012X100N,,,,
x,C7,18pF,klib:CAPC2012X100N,,,,
x,C8,100uF,klib:CAPAE660X790N,,,,
x,C9,100uF,klib:CAPAE660X790N,,,,
x,C10,0.1uF,klib:CAPC2012X100N,,,,
x,C11,0.1uF,klib:CAPC2012X100N,,,,
x,C12,0.1uF,klib:CAPC2012X100N,,,,
x,C13,0.47uF,klib:CAPC2012X100N,,,,
x,C14,0.1uF,klib:CAPC2012X100N,,,,
x,C15,0.1uF,klib:CAPC2012X100N,,,,
x,C16,0.1uF,klib:CAPC2012X100N,,,,
x,C17,0.01uF,klib:CAPC2012X100N,,,,
x,C18,0.01uF,klib:CAPC2012X100N,,,,
x,C19,0.1uF,klib:CAPC2012X100N,,,,
x,C20,0.1uF,klib:CAPC2012X100N,,,,
x,C21,1uF,klib:CAPC2012X100N,,,,
x,C22,1uF,klib:CAPC2012X100N,,,,
x,C24,0.1uF,klib:CAPC2012X100N,,,,
x,C25,100uF,klib:CAPAE660X790N,,,,
x,C26,22nF,klib:CAPC2012X100N,,,,
x,C27,0.1uF,klib:CAPC2012X100N,,,,
x,C28,0.1uF,klib:CAPC2012X100N,,,,
x,C29,0.1uF,klib:CAPC2012X100N,,,,
x,C30,0.1uF,klib:CAPC2012X100N,,,,
x,C31,0.1uF,klib:CAPC2012X100N,,,,
x,C32,0.1uF,klib:CAPC2012X100N,,,,
x,D1,LED,klib:LEDC3216X100N,,,,
x,D2,GS1M-LTP,klib:DIOM5226X220N,,GS1M-LTP,,
x,D3,24V,klib:DIOM5226X220N,,,,
x,L1,>80mA,klib:RESC2012X100N,,,,
x,M1,Mounting Hole,klib:MTGNP565H328Z565P,,,,
x,M2,Mounting Hole,klib:MTGNP565H328Z565P,,,,
x,M3,Mounting Hole,klib:MTGNP565H328Z565P,,,,
x,M4,Mounting Hole,klib:MTGNP565H328Z565P,,,,
x,M5,Heat Sink (RA-T2X-38E),klib:OHMITE-R-SERIES,,,,
x,M6,Power Entry Connector,klib:EMPTY,,06AK2D,,
x,M7,Enclosure (8.36x9.11x3.15),klib:EMPTY,,616-63210-510-000,PacTec,
x,M8,Fan (50mm x 10mm),klib:EMPTY,,MB50100V2-000U-A99,Sunon Fans,
x,M9,Fan Guard,klib:EMPTY,,FG-5,Sunon Fans,
x,P1,BELFUSE-08B0-1X1T-06-F,klib:BEL-FUSE-08B0-1X1T-06-F,,,,
x,P2,FTDI-PLUG,klib:HDRV6W66P254_1X6_1524X249X838P,,,,
x,P3,SWD,klib:HDRV6W66P254_1X6_1524X249X838P,,,,
x,P4,ENCODER,klib:JST-B5B-XH-A,,B5B-XH-A(LF)(SN),,
x,P5,BUTTONS,klib:JST-B5B-XH-A,,B5B-XH-A(LF)(SN),,
x,P6,POWER,klib:TECONN-2-1445050-2,,,,
x,P7,LCD,klib:SHDRV26W100P254_2X13_4052X880X910P,,,,
x,P8,FAN,klib:JST-B2B-XH-A,,,,
x,P9,LOAD-VCC,klib:PAD205P,,,,
x,P10,TEMP1,klib:JST-B2B-XH-A,,,,
x,P11,TEMP2,klib:JST-B2B-XH-A,,,,
x,P12,LOAD-GND,klib:PAD205P,,,,
x,P13,VSENSE,klib:JST-B2B-XH-A,,,,
x,R1,2.32K 1%,klib:RESC2012X100N,,,,
x,R2,100R,klib:RESC2012X100N,,,,
x,R3,100R,klib:RESC2012X100N,,,,
x,R4,100R,klib:RESC2012X100N,,,,
x,R5,50R,klib:RESC2012X100N,,,,
x,R6,50R,klib:RESC2012X100N,,,,
x,R7,50R,klib:RESC2012X100N,,,,
x,R8,50R,klib:RESC2012X100N,,,,
x,R9,10K,klib:RESC2012X100N,,,,
x,R10,10K,klib:RESC2012X100N,,,,
x,R11,10K,klib:RESC2012X100N,,,,
x,R12,10K,klib:RESC2012X100N,,,,
x,R13,10K,klib:RESC2012X100N,,,,
x,R14,10K,klib:RESC2012X100N,,,,
x,R15,10K,klib:RESC2012X100N,,,,
x,R16,10K,klib:RESC2012X100N,,,,
x,R17,10K,klib:RESC2012X100N,,,,
x,R18,470R,klib:RESC2012X100N,,,,
x,R19,470R,klib:RESC2012X100N,,,,
x,R20,1K,klib:RESC2012X100N,,,,
x,R21,470R,klib:RESC2012X100N,,,,
x,R22,1K,klib:RESC2012X100N,,,,
x,R23,10K,klib:RESC2012X100N,,,,
x,R24,4R,klib:RESAD1690W80L890D400P,,UB3C-4RF1,,
x,R25,4R,klib:RESAD1690W80L890D400P,,UB3C-4RF1,,
x,R26,4R,klib:RESAD1690W80L890D400P,,UB3C-4RF1,,
x,R27,4R,klib:RESAD1690W80L890D400P,,UB3C-4RF1,,
x,R28,4R,klib:RESAD1690W80L890D400P,,UB3C-4RF1,,
x,R29,4R,klib:RESAD1690W80L890D400P,,UB3C-4RF1,,
x,R30,4R,klib:RESAD1690W80L890D400P,,UB3C-4RF1,,
x,R31,4R,klib:RESAD1690W80L890D400P,,UB3C-4RF1,,
x,R32,4R,klib:RESAD1690W80L890D400P,,UB3C-4RF1,,
x,R33,4R,klib:RESAD1690W80L890D400P,,UB3C-4RF1,,
x,R34,10K,klib:RESC2012X100N,,,,
x,R35,10K,klib:RESC2012X100N,,,,
x,R36,1K,klib:RESC2012X100N,,,,
x,U1,LD1086V33,klib:TO255P460X1020X1925-3P,,,,
x,U2,ENC28J60,klib:SOP65P780X200-28N,,,,
x,U3,STM32-64PIN,klib:QFP50P1200X1200X160-64N,,,,
x,U4,TIREF30XX,klib:SOT95P237X112_123-3N,,,,
x,U5,SST25VF032B-S2A,klib:SOIC127P790X216-8N,,,,
x,U6,25AA02EXXX-XOT,klib:SOT95P270X145-6N,,,,
x,U7,MCP3204,klib:SOIC127P600X175-14N,,,,
x,U8,MCP49X1,klib:SOP65P490X110-8N,,,,
x,U9,FQT7N10LTF,klib:SOT230P700X180-4N,,FQT7N10LTF,,
x,U10,TSV631ILT,klib:SOT95P280X100-5N,,TSV631ILT,,
x,U11,BUK954R8-60E,127,klib:TO255P460X1020X1925-3P,,BUK954R8-60E,127
x,X1,25MHz,klib:XTAL8045X200N,,,,
x,X2,32.768kHZ,klib:SOJ550P370X240-4N,,,,
x,X3,8MHz,klib:XTAL8045X200N,,,,
x,,Thermister,,,,,
